




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5228828 Released 2021-08-18
Analyzed List:	H3F3A.intersect_with_DeepZ.unique.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3F3A.intersect_with_DeepZ.unique.txt (4924)	H3F3A.intersect_with_DeepZ.unique.txt (expected)	H3F3A.intersect_with_DeepZ.unique.txt (over/under)	H3F3A.intersect_with_DeepZ.unique.txt (fold Enrichment)	H3F3A.intersect_with_DeepZ.unique.txt (raw P-value)	H3F3A.intersect_with_DeepZ.unique.txt (FDR)
regulation of ubiquitin protein ligase activity (GO:1904666)	25	19	5.98	+	3.18	3.23E-04	1.26E-02
stress granule assembly (GO:0034063)	23	16	5.50	+	2.91	1.68E-03	4.93E-02
regulation of ubiquitin-protein transferase activity (GO:0051438)	54	34	12.91	+	2.63	3.04E-05	1.67E-03
ER-nucleus signaling pathway (GO:0006984)	32	20	7.65	+	2.61	1.22E-03	3.79E-02
positive regulation of RNA splicing (GO:0033120)	37	22	8.85	+	2.49	1.32E-03	4.05E-02
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	49	29	11.72	+	2.48	2.38E-04	9.86E-03
cytoplasmic translation (GO:0002181)	122	68	29.17	+	2.33	8.70E-08	7.39E-06
regulation of DNA-templated transcription in response to stress (GO:0043620)	55	30	13.15	+	2.28	4.83E-04	1.76E-02
translational initiation (GO:0006413)	66	36	15.78	+	2.28	1.32E-04	6.14E-03
viral gene expression (GO:0019080)	52	28	12.43	+	2.25	9.18E-04	3.06E-02
chaperone-mediated protein folding (GO:0061077)	67	35	16.02	+	2.18	3.51E-04	1.34E-02
nuclear-transcribed mRNA catabolic process (GO:0000956)	98	51	23.43	+	2.18	1.53E-05	8.69E-04
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	91	46	21.76	+	2.11	7.48E-05	3.81E-03
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	135	68	32.28	+	2.11	1.61E-06	1.08E-04
negative regulation of protein ubiquitination (GO:0031397)	82	41	19.61	+	2.09	2.10E-04	8.85E-03
mRNA catabolic process (GO:0006402)	125	62	29.89	+	2.07	6.33E-06	3.86E-04
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	166	82	39.69	+	2.07	2.50E-07	1.94E-05
RNA catabolic process (GO:0006401)	158	78	37.78	+	2.06	4.85E-07	3.60E-05
macromolecule deacylation (GO:0098732)	69	34	16.50	+	2.06	9.84E-04	3.22E-02
regulation of gene silencing (GO:0060968)	69	34	16.50	+	2.06	9.84E-04	3.21E-02
regulation of signal transduction by p53 class mediator (GO:1901796)	94	46	22.47	+	2.05	1.41E-04	6.53E-03
spindle assembly (GO:0051225)	92	45	22.00	+	2.05	1.84E-04	7.93E-03
regulation of RNA splicing (GO:0043484)	150	73	35.86	+	2.04	2.06E-06	1.35E-04
signal transduction by p53 class mediator (GO:0072331)	87	42	20.80	+	2.02	3.07E-04	1.21E-02
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	94	45	22.47	+	2.00	2.20E-04	9.21E-03
chromatin organization involved in regulation of transcription (GO:0034401)	86	41	20.56	+	1.99	4.35E-04	1.62E-02
ribonucleoprotein complex subunit organization (GO:0071826)	193	92	46.14	+	1.99	2.06E-07	1.63E-05
regulation of translational initiation (GO:0006446)	80	38	19.13	+	1.99	9.21E-04	3.06E-02
spindle organization (GO:0007051)	154	73	36.82	+	1.98	3.95E-06	2.49E-04
cell aging (GO:0007569)	76	36	18.17	+	1.98	1.09E-03	3.48E-02
ribonucleoprotein complex assembly (GO:0022618)	186	88	44.47	+	1.98	4.20E-07	3.14E-05
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	108	51	25.82	+	1.98	1.12E-04	5.34E-03
mRNA splicing, via spliceosome (GO:0000398)	234	110	55.95	+	1.97	1.79E-08	1.68E-06
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	234	110	55.95	+	1.97	1.79E-08	1.67E-06
embryonic placenta development (GO:0001892)	81	38	19.37	+	1.96	9.92E-04	3.23E-02
translation (GO:0006412)	366	171	87.51	+	1.95	2.88E-12	4.01E-10
RNA splicing, via transesterification reactions (GO:0000375)	238	111	56.90	+	1.95	2.25E-08	2.07E-06
regulation of proteasomal protein catabolic process (GO:0061136)	187	87	44.71	+	1.95	9.48E-07	6.77E-05
regulation of response to endoplasmic reticulum stress (GO:1905897)	84	39	20.08	+	1.94	1.18E-03	3.69E-02
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	222	103	53.08	+	1.94	8.41E-08	7.18E-06
import into nucleus (GO:0051170)	106	49	25.34	+	1.93	3.04E-04	1.21E-02
peptide biosynthetic process (GO:0043043)	388	179	92.77	+	1.93	2.29E-12	3.24E-10
positive regulation of proteasomal protein catabolic process (GO:1901800)	115	53	27.50	+	1.93	1.65E-04	7.21E-03
tRNA metabolic process (GO:0006399)	181	83	43.27	+	1.92	2.11E-06	1.38E-04
nucleocytoplasmic transport (GO:0006913)	216	99	51.64	+	1.92	2.57E-07	1.99E-05
nuclear transport (GO:0051169)	216	99	51.64	+	1.92	2.57E-07	1.98E-05
regulation of telomere maintenance (GO:0032204)	81	37	19.37	+	1.91	1.52E-03	4.57E-02
regulation of protein ubiquitination (GO:0031396)	211	96	50.45	+	1.90	5.80E-07	4.24E-05
DNA geometric change (GO:0032392)	88	40	21.04	+	1.90	1.07E-03	3.44E-02
nuclear export (GO:0051168)	121	55	28.93	+	1.90	1.59E-04	7.05E-03
regulation of DNA repair (GO:0006282)	130	59	31.08	+	1.90	8.77E-05	4.35E-03
regulation of mRNA processing (GO:0050684)	139	63	33.23	+	1.90	4.88E-05	2.58E-03
negative regulation of translation (GO:0017148)	166	75	39.69	+	1.89	1.14E-05	6.58E-04
negative regulation of DNA metabolic process (GO:0051053)	124	56	29.65	+	1.89	1.34E-04	6.23E-03
protein import into nucleus (GO:0006606)	102	46	24.39	+	1.89	5.30E-04	1.91E-02
tRNA processing (GO:0008033)	129	58	30.84	+	1.88	1.20E-04	5.70E-03
regulation of protein modification by small protein conjugation or removal (GO:1903320)	243	109	58.10	+	1.88	1.30E-07	1.07E-05
chromatin assembly or disassembly (GO:0006333)	154	69	36.82	+	1.87	3.62E-05	1.96E-03
regulation of cyclin-dependent protein kinase activity (GO:1904029)	96	43	22.95	+	1.87	1.09E-03	3.48E-02
chromatin assembly (GO:0031497)	134	60	32.04	+	1.87	1.08E-04	5.21E-03
negative regulation of cellular amide metabolic process (GO:0034249)	188	84	44.95	+	1.87	4.31E-06	2.71E-04
regulation of mRNA splicing, via spliceosome (GO:0048024)	103	46	24.63	+	1.87	7.68E-04	2.62E-02
nucleus organization (GO:0006997)	133	59	31.80	+	1.86	1.47E-04	6.70E-03
regulation of translation (GO:0006417)	399	177	95.40	+	1.86	3.41E-11	4.25E-09
RNA 3'-end processing (GO:0031123)	106	47	25.34	+	1.85	6.45E-04	2.26E-02
mRNA metabolic process (GO:0016071)	564	250	134.85	+	1.85	2.34E-15	3.91E-13
regulation of cellular protein catabolic process (GO:1903362)	256	113	61.21	+	1.85	1.70E-07	1.37E-05
ribonucleoprotein complex biogenesis (GO:0022613)	424	187	101.37	+	1.84	1.44E-11	1.86E-09
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	134	59	32.04	+	1.84	1.57E-04	7.02E-03
signal transduction in response to DNA damage (GO:0042770)	134	59	32.04	+	1.84	1.57E-04	7.00E-03
regulation of DNA replication (GO:0006275)	107	47	25.58	+	1.84	9.40E-04	3.10E-02
intrinsic apoptotic signaling pathway (GO:0097193)	148	65	35.38	+	1.84	7.79E-05	3.94E-03
stem cell population maintenance (GO:0019827)	105	46	25.10	+	1.83	8.83E-04	2.96E-02
positive regulation of translation (GO:0045727)	137	60	32.75	+	1.83	1.78E-04	7.68E-03
protein-containing complex disassembly (GO:0032984)	119	52	28.45	+	1.83	4.34E-04	1.62E-02
regulation of DNA biosynthetic process (GO:2000278)	110	48	26.30	+	1.83	7.79E-04	2.65E-02
positive regulation of response to DNA damage stimulus (GO:2001022)	108	47	25.82	+	1.82	9.89E-04	3.22E-02
regulation of cellular amide metabolic process (GO:0034248)	455	198	108.78	+	1.82	8.10E-12	1.10E-09
peptidyl-lysine acetylation (GO:0018394)	115	50	27.50	+	1.82	6.93E-04	2.41E-02
positive regulation of mRNA metabolic process (GO:1903313)	115	50	27.50	+	1.82	6.93E-04	2.40E-02
protein acetylation (GO:0006473)	134	58	32.04	+	1.81	3.05E-04	1.21E-02
regulation of response to DNA damage stimulus (GO:2001020)	222	96	53.08	+	1.81	2.81E-06	1.81E-04
cellular response to hypoxia (GO:0071456)	132	57	31.56	+	1.81	3.92E-04	1.48E-02
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	160	69	38.25	+	1.80	7.07E-05	3.61E-03
regulation of gene expression, epigenetic (GO:0040029)	130	56	31.08	+	1.80	3.63E-04	1.38E-02
mRNA transport (GO:0051028)	137	59	32.75	+	1.80	2.55E-04	1.05E-02
ncRNA processing (GO:0034470)	388	167	92.77	+	1.80	8.21E-10	8.83E-08
mRNA processing (GO:0006397)	437	188	104.48	+	1.80	7.07E-11	8.68E-09
RNA phosphodiester bond hydrolysis (GO:0090501)	156	67	37.30	+	1.80	1.11E-04	5.33E-03
nucleosome organization (GO:0034728)	140	60	33.47	+	1.79	2.86E-04	1.15E-02
protein stabilization (GO:0050821)	196	84	46.86	+	1.79	1.72E-05	9.70E-04
peptidyl-lysine modification (GO:0018205)	276	118	65.99	+	1.79	3.08E-07	2.34E-05
RNA splicing (GO:0008380)	356	152	85.12	+	1.79	7.41E-09	7.19E-07
protein import (GO:0017038)	150	64	35.86	+	1.78	1.69E-04	7.37E-03
ncRNA metabolic process (GO:0034660)	469	200	112.13	+	1.78	2.84E-11	3.60E-09
amide biosynthetic process (GO:0043604)	500	213	119.54	+	1.78	5.84E-12	8.06E-10
maintenance of cell number (GO:0098727)	108	46	25.82	+	1.78	1.43E-03	4.33E-02
protein folding (GO:0006457)	209	89	49.97	+	1.78	1.13E-05	6.56E-04
vacuolar transport (GO:0007034)	155	66	37.06	+	1.78	1.49E-04	6.71E-03
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	306	130	73.16	+	1.78	1.13E-07	9.53E-06
cell cycle phase transition (GO:0044770)	177	75	42.32	+	1.77	5.54E-05	2.91E-03
positive regulation of cellular amide metabolic process (GO:0034250)	163	69	38.97	+	1.77	1.12E-04	5.34E-03
positive regulation of cellular protein catabolic process (GO:1903364)	156	66	37.30	+	1.77	1.59E-04	7.02E-03
intracellular receptor signaling pathway (GO:0030522)	142	60	33.95	+	1.77	3.24E-04	1.26E-02
proteasomal protein catabolic process (GO:0010498)	344	145	82.25	+	1.76	3.06E-08	2.78E-06
positive regulation of protein ubiquitination (GO:0031398)	121	51	28.93	+	1.76	1.26E-03	3.91E-02
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	119	50	28.45	+	1.76	1.18E-03	3.69E-02
internal peptidyl-lysine acetylation (GO:0018393)	112	47	26.78	+	1.76	1.68E-03	4.94E-02
circadian rhythm (GO:0007623)	136	57	32.52	+	1.75	6.42E-04	2.25E-02
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	141	59	33.71	+	1.75	5.72E-04	2.05E-02
regulation of circadian rhythm (GO:0042752)	122	51	29.17	+	1.75	1.31E-03	4.03E-02
protein localization to nucleus (GO:0034504)	170	71	40.64	+	1.75	1.45E-04	6.63E-03
positive regulation of chromosome organization (GO:2001252)	175	73	41.84	+	1.74	1.29E-04	6.04E-03
RNA localization (GO:0006403)	190	79	45.43	+	1.74	6.65E-05	3.44E-03
RNA processing (GO:0006396)	847	352	202.51	+	1.74	1.03E-17	2.28E-15
cellular response to decreased oxygen levels (GO:0036294)	142	59	33.95	+	1.74	5.95E-04	2.12E-02
negative regulation of mitotic cell cycle phase transition (GO:1901991)	152	63	36.34	+	1.73	3.54E-04	1.35E-02
mitotic cell cycle phase transition (GO:0044772)	169	70	40.41	+	1.73	1.91E-04	8.11E-03
regulation of histone modification (GO:0031056)	157	65	37.54	+	1.73	3.09E-04	1.22E-02
ribosome biogenesis (GO:0042254)	293	121	70.05	+	1.73	1.12E-06	7.78E-05
chromatin remodeling (GO:0006338)	247	102	59.05	+	1.73	7.80E-06	4.66E-04
regulation of mRNA metabolic process (GO:1903311)	291	120	69.57	+	1.72	1.06E-06	7.36E-05
covalent chromatin modification (GO:0016569)	362	149	86.55	+	1.72	6.12E-08	5.35E-06
posttranscriptional regulation of gene expression (GO:0010608)	504	207	120.50	+	1.72	1.54E-10	1.81E-08
placenta development (GO:0001890)	144	59	34.43	+	1.71	8.78E-04	2.95E-02
chromatin organization (GO:0006325)	686	281	164.01	+	1.71	9.73E-14	1.53E-11
histone modification (GO:0016570)	357	146	85.35	+	1.71	1.26E-07	1.04E-05
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	257	105	61.45	+	1.71	8.31E-06	4.91E-04
cellular macromolecule catabolic process (GO:0044265)	818	334	195.57	+	1.71	4.88E-16	8.61E-14
establishment of RNA localization (GO:0051236)	169	69	40.41	+	1.71	2.67E-04	1.08E-02
DNA repair (GO:0006281)	478	195	114.28	+	1.71	8.92E-10	9.54E-08
peptide metabolic process (GO:0006518)	519	211	124.09	+	1.70	2.58E-10	2.94E-08
cellular response to DNA damage stimulus (GO:0006974)	720	292	172.14	+	1.70	7.20E-14	1.14E-11
gene silencing (GO:0016458)	148	60	35.38	+	1.70	7.70E-04	2.62E-02
DNA conformation change (GO:0071103)	269	109	64.31	+	1.69	7.01E-06	4.24E-04
cell division (GO:0051301)	499	202	119.30	+	1.69	7.58E-10	8.21E-08
rRNA metabolic process (GO:0016072)	230	93	54.99	+	1.69	3.47E-05	1.89E-03
nucleobase-containing compound catabolic process (GO:0034655)	277	112	66.23	+	1.69	5.18E-06	3.23E-04
regulation of chromatin organization (GO:1902275)	203	82	48.53	+	1.69	1.07E-04	5.20E-03
macromolecule methylation (GO:0043414)	253	102	60.49	+	1.69	1.75E-05	9.88E-04
regulation of protein catabolic process (GO:0042176)	398	160	95.16	+	1.68	6.61E-08	5.74E-06
RNA transport (GO:0050658)	167	67	39.93	+	1.68	5.95E-04	2.13E-02
nucleic acid transport (GO:0050657)	167	67	39.93	+	1.68	5.95E-04	2.12E-02
regulation of DNA metabolic process (GO:0051052)	358	143	85.59	+	1.67	4.26E-07	3.17E-05
modification-dependent protein catabolic process (GO:0019941)	536	214	128.15	+	1.67	6.05E-10	6.60E-08
protein-DNA complex subunit organization (GO:0071824)	208	83	49.73	+	1.67	1.28E-04	6.04E-03
regulation of cell cycle G1/S phase transition (GO:1902806)	143	57	34.19	+	1.67	1.56E-03	4.64E-02
modification-dependent macromolecule catabolic process (GO:0043632)	547	218	130.78	+	1.67	4.85E-10	5.41E-08
ubiquitin-dependent protein catabolic process (GO:0006511)	525	209	125.52	+	1.67	1.03E-09	1.09E-07
